period start,symbol,price,change %,min,max,30d avg
2020-07-03T12:00:09+00:00,MMM,$97.29,-30.71%,$93.31,$189.17,$99.47
2020-07-03T12:00:09+00:00,AOS,$70.64,55.29%,$44.95,$83.48,$69.40
2020-07-03T12:00:09+00:00,ABT,$106.35,20.10%,$88.07,$137.81,$104.87
2020-07-03T12:00:09+00:00,ABBV,$135.50,55.75%,$72.56,$167.01,$136.50
2020-07-03T12:00:09+00:00,ABMD,$381.02,43.13%,$224.73,$381.30,$378.35
2020-07-03T12:00:09+00:00,ACN,$305.76,46.49%,$206.48,$406.56,$307.51
2020-07-03T12:00:09+00:00,ATVI,$82.43,5.91%,$56.94,$102.70,$81.30
2020-07-03T12:00:09+00:00,ADBE,$485.27,7.22%,$275.20,$688.37,$458.59
2020-07-03T12:00:09+00:00,AAP,$69.38,-46.64%,$63.58,$230.37,$74.14
2020-07-03T12:00:09+00:00,AMD,$113.17,111.93%,$52.93,$161.91,$117.64
2020-07-03T12:00:09+00:00,AES,$21.09,58.22%,$12.82,$28.88,$20.56
2020-07-03T12:00:09+00:00,AFL,$70.04,109.89%,$31.47,$72.94,$67.80
2020-07-03T12:00:09+00:00,A,$117.00,33.51%,$87.54,$177.03,$118.16
2020-07-03T12:00:09+00:00,APD,$286.84,23.39%,$210.22,$319.62,$282.91
2020-07-03T12:00:09+00:00,AKAM,$89.77,-20.28%,$70.75,$121.92,$90.79
2020-07-03T12:00:09+00:00,ALK,$53.75,44.96%,$34.00,$73.74,$49.25
2020-07-03T12:00:09+00:00,ALB,$237.52,199.81%,$73.89,$323.68,$219.00
2020-07-03T12:00:09+00:00,ARE,$117.01,-22.45%,$107.88,$211.91,$114.75
Could not fetch closing data
2020-07-03T12:00:09+00:00,ALGN,$329.54,16.68%,$174.58,$729.92,$317.85
2020-07-03T12:00:09+00:00,ALLE,$116.79,16.60%,$88.27,$144.41,$113.79
Could not fetch closing data
2020-07-03T12:00:09+00:00,LNT,$52.63,17.55%,$43.12,$62.67,$52.54
2020-07-03T12:00:09+00:00,ALL,$108.27,22.51%,$79.30,$139.26,$109.88
2020-07-03T12:00:09+00:00,GOOGL,$119.48,59.34%,$70.47,$149.84,$122.33
2020-07-03T12:00:09+00:00,GOOG,$120.14,60.65%,$70.76,$150.71,$123.05
2020-07-03T12:00:09+00:00,MO,$45.98,46.52%,$29.17,$51.00,$44.34
2020-07-03T12:00:09+00:00,AMZN,$129.78,-15.09%,$81.82,$186.57,$125.56
2020-07-03T12:00:09+00:00,AMCR,$9.94,4.55%,$9.11,$12.92,$9.98
2020-07-03T12:00:09+00:00,AEE,$82.26,21.59%,$65.66,$95.15,$81.97
2020-07-03T12:00:09+00:00,AAL,$18.35,43.36%,$10.95,$25.82,$16.14
2020-07-03T12:00:09+00:00,AEP,$84.29,13.85%,$69.23,$102.31,$83.88
2020-07-03T12:00:09+00:00,AXP,$169.80,82.85%,$87.09,$194.26,$167.68
2020-07-03T12:00:09+00:00,AIG,$58.20,105.01%,$24.68,$63.71,$55.83
2020-07-03T12:00:09+00:00,AMT,$195.55,-21.03%,$179.62,$288.50,$188.89
2020-07-03T12:00:09+00:00,AWK,$141.06,12.90%,$124.25,$183.98,$144.79
2020-07-03T12:00:09+00:00,AMP,$332.62,134.00%,$135.61,$353.63,$318.26
2020-07-03T12:00:09+00:00,ABC,$190.86,97.59%,$90.59,$192.43,$181.10
2020-07-03T12:00:09+00:00,AME,$157.08,78.49%,$84.57,$161.88,$153.38
2020-07-03T12:00:09+00:00,AMGN,$218.65,-6.34%,$189.32,$285.16,$222.25
2020-07-03T12:00:09+00:00,APH,$83.62,75.60%,$45.83,$86.49,$79.79
2020-07-03T12:00:09+00:00,ADI,$185.31,58.27%,$106.03,$196.28,$184.47
2020-07-03T12:00:09+00:00,ANSS,$320.17,6.14%,$200.33,$411.22,$323.81
Could not fetch closing data
2020-07-03T12:00:09+00:00,AON,$335.41,78.21%,$176.57,$345.20,$324.09
2020-07-03T12:00:09+00:00,APA,$34.91,168.37%,$7.52,$50.29,$33.54
2020-07-03T12:00:09+00:00,AIV,$8.47,123.90%,$2.99,$9.58,$8.35
2020-07-03T12:00:09+00:00,AAPL,$190.68,107.80%,$90.93,$193.97,$183.70
2020-07-03T12:00:09+00:00,AMAT,$139.57,126.07%,$53.69,$164.65,$138.05
2020-07-03T12:00:09+00:00,APTV,$107.55,37.13%,$75.39,$178.12,$97.91
2020-07-03T12:00:09+00:00,ADM,$78.01,110.79%,$35.27,$96.56,$73.69
2020-07-03T12:00:09+00:00,ANET,$158.00,194.71%,$48.78,$174.42,$159.94
2020-07-03T12:00:09+00:00,AJG,$214.05,129.74%,$93.17,$219.57,$209.47
2020-07-03T12:00:09+00:00,AIZ,$125.86,30.21%,$92.22,$188.45,$125.86
2020-07-03T12:00:09+00:00,T,$15.61,-12.05%,$13.97,$20.84,$15.50
2020-07-03T12:00:09+00:00,ATO,$117.31,25.01%,$79.90,$118.96,$116.17
2020-07-03T12:00:09+00:00,ADSK,$201.57,-17.51%,$164.31,$342.27,$204.93
2020-07-03T12:00:09+00:00,ADP,$218.74,54.27%,$121.90,$265.54,$216.20
2020-07-03T12:00:09+00:00,AZO,$2469.51,117.12%,$1095.99,$2733.65,$2428.72
2020-07-03T12:00:09+00:00,AVB,$191.07,32.68%,$121.10,$245.21,$183.44
2020-07-03T12:00:09+00:00,AVY,$171.65,52.25%,$105.52,$221.01,$167.10
2020-07-03T12:00:09+00:00,BKR,$33.11,134.08%,$11.66,$37.50,$30.10
Could not fetch closing data
2020-07-03T12:00:09+00:00,BAC,$28.53,29.28%,$21.24,$47.57,$28.60
2020-07-03T12:00:09+00:00,BAX,$45.30,-45.86%,$37.31,$86.67,$43.36
2020-07-03T12:00:09+00:00,BDX,$256.92,9.61%,$207.66,$270.52,$253.07
Could not fetch closing data
2020-07-03T12:00:09+00:00,BBY,$79.30,0.34%,$60.71,$128.06,$76.94
2020-07-03T12:00:09+00:00,BIIB,$275.07,1.95%,$187.54,$414.71,$294.88
2020-07-03T12:00:09+00:00,BLK,$684.10,32.02%,$500.27,$926.67,$680.95
2020-07-03T12:00:09+00:00,BA,$212.10,12.87%,$115.86,$269.19,$211.01
2020-07-03T12:00:09+00:00,BKNG,$2636.91,54.77%,$1604.13,$2780.98,$2634.38
2020-07-03T12:00:09+00:00,BWA,$44.95,52.40%,$27.29,$46.24,$41.49
2020-07-03T12:00:09+00:00,BXP,$59.08,-25.63%,$45.69,$122.08,$52.91
2020-07-03T12:00:09+00:00,BSX,$52.29,46.92%,$33.15,$54.64,$52.51
2020-07-03T12:00:09+00:00,BMY,$62.65,14.37%,$50.73,$79.13,$64.21
2020-07-03T12:00:09+00:00,AVGO,$846.75,190.91%,$279.20,$881.48,$825.20
2020-07-03T12:00:09+00:00,BR,$163.30,33.60%,$118.84,$179.73,$156.54
Could not fetch closing data
2020-07-03T12:00:09+00:00,CHRW,$95.26,27.62%,$74.63,$116.77,$93.94
Could not fetch closing data
